nomT,numéro
"with",1
"IDF",2
".",3
";",4
"use",5
"procedure",6
"is",7
"begin",8
"end",9
"EOF",10
"type",11
"function",12
"return",13
":",14
":=",15
"access",16
"record",17
"virgule",18
"(",19
")",20
"in",21
"out",22
"for",23
"..",24 (donne rien)
"loop",25
"if",26
"then",27
"while",28
"reverse",29
"else",30
"elsif",31
"or",32
"or else",33
"and",34
"and then",35
"not",36
"=",37
"/=",38
"<",39
"<=",40
">",41
">=",42
"+",43
"-",44
"*",45
"/",46
"rem",47
"caractere",48
"charactere",49
"'",50
"val",51
"entier",52
"false",53
"new",54
"null",55
"true",56

